"sp","value_rmodificator","p_change","qual_change"
"stichaster striatus",0.0216,0.141754442,"Less than 5% change"
"tegula atra",0.0216,90.07735308,"Increase"
"Tonicia lineolata",0.0216,-1.196337002,"Less than 5% change"
"tonicia  chilensis",0.0216,-1.196337002,"Less than 5% change"
"tonicia  elegans",0.0216,-1.196337002,"Less than 5% change"
"anthotoe spp.",0.0216,0.154179362,"Less than 5% change"
"austromegabalanus psittacus",0.0216,0.127204631,"Less than 5% change"
"balanus laevis",0.0216,0.437546074,"Less than 5% change"
"brachidontes granulata",0.0216,0.077918945,"Less than 5% change"
"bunodactis spp.",0.0216,0.154179362,"Less than 5% change"
"Oulactis concinnata",0.0216,0.154179362,"Less than 5% change"
"jhelius cirratus",0.0216,-0.109642594,"Less than 5% change"
"lessonia nigrescens a",0.0216,-20.10920617,"Decrease"
"nothobalanus flosculus",0.0216,0.41924473,"Less than 5% change"
"nothochthamalus scabrosus",0.0216,-0.089662814,"Less than 5% change"
"parantheopsis ",0.0216,0.154179362,"Less than 5% change"
"perumytilus purpuratus",0.0216,0.607603613,"Less than 5% change"
"phragmatopoma spp.",0.0216,0.066257611,"Less than 5% change"
"phymactis spp.",0.0216,0.154179362,"Less than 5% change"
"pyura chilensis",0.0216,0.064369495,"Less than 5% change"
"semimytilus algosus",0.0216,0.329970339,"Less than 5% change"
"gulls",0.0216,0.100050582,"Less than 5% change"
"cinclodes nigrofumosus",0.0216,0.000332491,"Less than 5% change"
"Echinolittorina peruviana",0.0216,-77.33821147,"Decrease"
"austrolittorina araucana",0.0216,-75.48792055,"Decrease"
"onchidella sp. ",0.0216,-27.38944777,"Decrease"
"Allelopetrolisthes punctatus",0.0216,-0.000940616,"Less than 5% change"
"petrolisthes spinifrons",0.0216,-0.000940616,"Less than 5% change"
"petrolisthes angulosus",0.0216,-0.000940616,"Less than 5% change"
"petrolisthes tuberculatus",0.0216,-0.000940616,"Less than 5% change"
"petrolisthes tuberculosus",0.0216,-0.000940616,"Less than 5% change"
"trimusculus peruvianus",0.0216,-27.30042616,"Decrease"
"lessonia nigrescens j",0.0216,187.0074434,"Increase"
"algae",0.0216,-1.593312416,"Less than 5% change"
"acanthina monodon",0.0217,0.139634987,"Less than 5% change"
"acanthocyclus gayi",0.0217,0.111851448,"Less than 5% change"
"acanthocyclus hassleri",0.0217,0.111526225,"Less than 5% change"
"acanthopleura echinata",0.0217,0.087579224,"Less than 5% change"
"chaetopleura peruviana",0.0217,0.192365969,"Less than 5% change"
"chiton  cummingsi",0.0217,0.732100667,"Less than 5% change"
"chiton  granosus",0.0217,0.429176014,"Less than 5% change"
"chiton  latus",0.0217,0.666790052,"Less than 5% change"
"lottia  orbignyi",0.0217,0.700737212,"Less than 5% change"
"concholepas concholepas",0.0217,0.098506582,"Less than 5% change"
"enoplochiton  niger",0.0217,0.024974941,"Less than 5% change"
"fissurella  costata",0.0217,-0.191627706,"Less than 5% change"
"fissurella  crassa",0.0217,-0.08033586,"Less than 5% change"
"fissurella  cummingi",0.0217,-0.0581358,"Less than 5% change"
"fissurella  limbata",0.0217,0.743459303,"Less than 5% change"
"fissurella  maxima",0.0217,-0.026932442,"Less than 5% change"
"fissurella  picta",0.0217,-0.049987122,"Less than 5% change"
"fissurella  puhlcra",0.0217,-0.049987122,"Less than 5% change"
"heliaster helianthus",0.0217,0.095794056,"Less than 5% change"
"scurria  araucana",0.0217,0.701572546,"Less than 5% change"
"scurria  ceciliana",0.0217,0.714776195,"Less than 5% change"
"scurria  plana",0.0217,0.705726712,"Less than 5% change"
"scurria scurra",0.0217,-33.87187514,"Decrease"
"scurria variabilis",0.0217,0.765183404,"Less than 5% change"
"scurria viridula",0.0217,0.844525244,"Less than 5% change"
"scurria zebrina",0.0217,0.859010117,"Less than 5% change"
"siphonaria lesoni",0.0217,0.657680625,"Less than 5% change"
"stichaster striatus",0.0217,0.141420239,"Less than 5% change"
"tegula atra",0.0217,90.1006049,"Increase"
"Tonicia lineolata",0.0217,-1.197277133,"Less than 5% change"
"tonicia  chilensis",0.0217,-1.197277133,"Less than 5% change"
"tonicia  elegans",0.0217,-1.197277133,"Less than 5% change"
"anthotoe spp.",0.0217,0.153817897,"Less than 5% change"
"austromegabalanus psittacus",0.0217,0.126845903,"Less than 5% change"
"balanus laevis",0.0217,0.437162914,"Less than 5% change"
"brachidontes granulata",0.0217,0.077683907,"Less than 5% change"
"bunodactis spp.",0.0217,0.153817897,"Less than 5% change"
"Oulactis concinnata",0.0217,0.153817897,"Less than 5% change"
"jhelius cirratus",0.0217,-0.110483582,"Less than 5% change"
"lessonia nigrescens a",0.0217,-20.10596697,"Decrease"
"nothobalanus flosculus",0.0217,0.418536607,"Less than 5% change"
"nothochthamalus scabrosus",0.0217,-0.090509649,"Less than 5% change"
"parantheopsis ",0.0217,0.153817897,"Less than 5% change"
"perumytilus purpuratus",0.0217,0.606802968,"Less than 5% change"
"phragmatopoma spp.",0.0217,0.066057779,"Less than 5% change"
"phymactis spp.",0.0217,0.153817897,"Less than 5% change"
"pyura chilensis",0.0217,0.06417536,"Less than 5% change"
"semimytilus algosus",0.0217,0.32948253,"Less than 5% change"
"gulls",0.0217,0.099884674,"Less than 5% change"
"cinclodes nigrofumosus",0.0217,0.00032896,"Less than 5% change"
"Echinolittorina peruviana",0.0217,-77.34937096,"Decrease"
"austrolittorina araucana",0.0217,-75.49960909,"Decrease"
"onchidella sp. ",0.0217,-27.3969464,"Decrease"
"Allelopetrolisthes punctatus",0.0217,-0.000939012,"Less than 5% change"
"petrolisthes spinifrons",0.0217,-0.000939012,"Less than 5% change"
"petrolisthes angulosus",0.0217,-0.000939012,"Less than 5% change"
"petrolisthes tuberculatus",0.0217,-0.000939012,"Less than 5% change"
"petrolisthes tuberculosus",0.0217,-0.000939012,"Less than 5% change"
"trimusculus peruvianus",0.0217,-27.30790136,"Decrease"
"lessonia nigrescens j",0.0217,187.0510003,"Increase"
"algae",0.0217,-1.593749388,"Less than 5% change"
"acanthina monodon",0.0218,0.139308855,"Less than 5% change"
"acanthocyclus gayi",0.0218,0.111569333,"Less than 5% change"
"acanthocyclus hassleri",0.0218,0.111245205,"Less than 5% change"
"acanthopleura echinata",0.0218,0.087101681,"Less than 5% change"
"chaetopleura peruviana",0.0218,0.191952003,"Less than 5% change"
"chiton  cummingsi",0.0218,0.731625718,"Less than 5% change"
"chiton  granosus",0.0218,0.428619216,"Less than 5% change"
"chiton  latus",0.0218,0.666299634,"Less than 5% change"
"lottia  orbignyi",0.0218,0.700256893,"Less than 5% change"
"concholepas concholepas",0.0218,0.098246914,"Less than 5% change"
"enoplochiton  niger",0.0218,0.02432134,"Less than 5% change"
"fissurella  costata",0.0218,-0.192311504,"Less than 5% change"
"fissurella  crassa",0.0218,-0.081004994,"Less than 5% change"
"fissurella  cummingi",0.0218,-0.058791791,"Less than 5% change"
"fissurella  limbata",0.0218,0.742641849,"Less than 5% change"
"fissurella  maxima",0.0218,-0.027585641,"Less than 5% change"
"fissurella  picta",0.0218,-0.050642459,"Less than 5% change"
"fissurella  puhlcra",0.0218,-0.050642459,"Less than 5% change"
"heliaster helianthus",0.0218,0.095540762,"Less than 5% change"
"scurria  araucana",0.0218,0.701093025,"Less than 5% change"
"scurria  ceciliana",0.0218,0.714299229,"Less than 5% change"
"scurria  plana",0.0218,0.70524791,"Less than 5% change"
"scurria scurra",0.0218,-33.86654592,"Decrease"
"scurria variabilis",0.0218,0.764712734,"Less than 5% change"
"scurria viridula",0.0218,0.844058204,"Less than 5% change"
"scurria zebrina",0.0218,0.85854239,"Less than 5% change"
"siphonaria lesoni",0.0218,0.657185741,"Less than 5% change"
"stichaster striatus",0.0218,0.1410892,"Less than 5% change"
"tegula atra",0.0218,90.12363986,"Increase"
"Tonicia lineolata",0.0218,-1.198208401,"Less than 5% change"
"tonicia  chilensis",0.0218,-1.198208401,"Less than 5% change"
"tonicia  elegans",0.0218,-1.198208401,"Less than 5% change"
"anthotoe spp.",0.0218,0.153459853,"Less than 5% change"
"austromegabalanus psittacus",0.0218,0.12649057,"Less than 5% change"
"balanus laevis",0.0218,0.436783394,"Less than 5% change"
"brachidontes granulata",0.0218,0.077451093,"Less than 5% change"
"bunodactis spp.",0.0218,0.153459853,"Less than 5% change"
"Oulactis concinnata",0.0218,0.153459853,"Less than 5% change"
"jhelius cirratus",0.0218,-0.111316616,"Less than 5% change"
"lessonia nigrescens a",0.0218,-20.10275881,"Decrease"
"nothobalanus flosculus",0.0218,0.417835195,"Less than 5% change"
"nothochthamalus scabrosus",0.0218,-0.091348475,"Less than 5% change"
"parantheopsis ",0.0218,0.153459853,"Less than 5% change"
"perumytilus purpuratus",0.0218,0.606009915,"Less than 5% change"
"phragmatopoma spp.",0.0218,0.065859838,"Less than 5% change"
"phymactis spp.",0.0218,0.153459853,"Less than 5% change"
"pyura chilensis",0.0218,0.063983062,"Less than 5% change"
"semimytilus algosus",0.0218,0.328999343,"Less than 5% change"
"gulls",0.0218,0.099720338,"Less than 5% change"
"cinclodes nigrofumosus",0.0218,0.000325463,"Less than 5% change"
"Echinolittorina peruviana",0.0218,-77.36042144,"Decrease"
"austrolittorina araucana",0.0218,-75.51118384,"Decrease"
"onchidella sp. ",0.0218,-27.40437462,"Decrease"
"Allelopetrolisthes punctatus",0.0218,-0.000937424,"Less than 5% change"
"petrolisthes spinifrons",0.0218,-0.000937424,"Less than 5% change"
"petrolisthes angulosus",0.0218,-0.000937424,"Less than 5% change"
"petrolisthes tuberculatus",0.0218,-0.000937424,"Less than 5% change"
"petrolisthes tuberculosus",0.0218,-0.000937424,"Less than 5% change"
"trimusculus peruvianus",0.0218,-27.31530636,"Decrease"
"lessonia nigrescens j",0.0218,187.0941491,"Increase"
"algae",0.0218,-1.594182258,"Less than 5% change"
"acanthina monodon",0.0219,0.138985796,"Less than 5% change"
"acanthocyclus gayi",0.0219,0.111289874,"Less than 5% change"
"acanthocyclus hassleri",0.0219,0.110966831,"Less than 5% change"
"acanthopleura echinata",0.0219,0.086628634,"Less than 5% change"
"chaetopleura peruviana",0.0219,0.191541937,"Less than 5% change"
"chiton  cummingsi",0.0219,0.731155263,"Less than 5% change"
"chiton  granosus",0.0219,0.42806767,"Less than 5% change"
"chiton  latus",0.0219,0.665813855,"Less than 5% change"
"lottia  orbignyi",0.0219,0.699781119,"Less than 5% change"
"concholepas concholepas",0.0219,0.097989691,"Less than 5% change"
"enoplochiton  niger",0.0219,0.023673891,"Less than 5% change"
"fissurella  costata",0.0219,-0.192988873,"Less than 5% change"
"fissurella  crassa",0.0219,-0.081667832,"Less than 5% change"
"fissurella  cummingi",0.0219,-0.05944161,"Less than 5% change"
"fissurella  limbata",0.0219,0.741832102,"Less than 5% change"
"fissurella  maxima",0.0219,-0.028232693,"Less than 5% change"
"fissurella  picta",0.0219,-0.051291629,"Less than 5% change"
"fissurella  puhlcra",0.0219,-0.051291629,"Less than 5% change"
"heliaster helianthus",0.0219,0.095289854,"Less than 5% change"
"scurria  araucana",0.0219,0.700618041,"Less than 5% change"
"scurria  ceciliana",0.0219,0.713826775,"Less than 5% change"
"scurria  plana",0.0219,0.704773637,"Less than 5% change"
"scurria scurra",0.0219,-33.86126749,"Decrease"
"scurria variabilis",0.0219,0.764246519,"Less than 5% change"
"scurria viridula",0.0219,0.843595587,"Less than 5% change"
"scurria zebrina",0.0219,0.858079093,"Less than 5% change"
"siphonaria lesoni",0.0219,0.656695539,"Less than 5% change"
"stichaster striatus",0.0219,0.14076128,"Less than 5% change"
"tegula atra",0.0219,90.14646098,"Increase"
"Tonicia lineolata",0.0219,-1.19913093,"Less than 5% change"
"tonicia  chilensis",0.0219,-1.19913093,"Less than 5% change"
"tonicia  elegans",0.0219,-1.19913093,"Less than 5% change"
"anthotoe spp.",0.0219,0.153105183,"Less than 5% change"
"austromegabalanus psittacus",0.0219,0.126138583,"Less than 5% change"
"balanus laevis",0.0219,0.436407462,"Less than 5% change"
"brachidontes granulata",0.0219,0.077220472,"Less than 5% change"
"bunodactis spp.",0.0219,0.153105183,"Less than 5% change"
"Oulactis concinnata",0.0219,0.153105183,"Less than 5% change"
"jhelius cirratus",0.0219,-0.112141808,"Less than 5% change"
"lessonia nigrescens a",0.0219,-20.09958125,"Decrease"
"nothobalanus flosculus",0.0219,0.4171404,"Less than 5% change"
"nothochthamalus scabrosus",0.0219,-0.092179403,"Less than 5% change"
"parantheopsis ",0.0219,0.153105183,"Less than 5% change"
"perumytilus purpuratus",0.0219,0.605224346,"Less than 5% change"
"phragmatopoma spp.",0.0219,0.06566376,"Less than 5% change"
"phymactis spp.",0.0219,0.153105183,"Less than 5% change"
"pyura chilensis",0.0219,0.063792576,"Less than 5% change"
"semimytilus algosus",0.0219,0.328520712,"Less than 5% change"
"gulls",0.0219,0.099557551,"Less than 5% change"
"cinclodes nigrofumosus",0.0219,0.000321999,"Less than 5% change"
"Echinolittorina peruviana",0.0219,-77.37136473,"Decrease"
"austrolittorina araucana",0.0219,-75.52264645,"Decrease"
"onchidella sp. ",0.0219,-27.41173341,"Decrease"
"Allelopetrolisthes punctatus",0.0219,-0.00093585,"Less than 5% change"
"petrolisthes spinifrons",0.0219,-0.00093585,"Less than 5% change"
"petrolisthes angulosus",0.0219,-0.00093585,"Less than 5% change"
"petrolisthes tuberculatus",0.0219,-0.00093585,"Less than 5% change"
"petrolisthes tuberculosus",0.0219,-0.00093585,"Less than 5% change"
"trimusculus peruvianus",0.0219,-27.32264215,"Decrease"
"lessonia nigrescens j",0.0219,187.1368955,"Increase"
"algae",0.0219,-1.594611082,"Less than 5% change"
"acanthina monodon",0.022,0.138665766,"Less than 5% change"
"acanthocyclus gayi",0.022,0.111013036,"Less than 5% change"
"acanthocyclus hassleri",0.022,0.110691067,"Less than 5% change"
"acanthopleura echinata",0.022,0.08616002,"Less than 5% change"
"chaetopleura peruviana",0.022,0.191135717,"Less than 5% change"
"chiton  cummingsi",0.022,0.730689239,"Less than 5% change"
"chiton  granosus",0.022,0.427521301,"Less than 5% change"
"chiton  latus",0.022,0.66533265,"Less than 5% change"
"lottia  orbignyi",0.022,0.699309824,"Less than 5% change"
"concholepas concholepas",0.022,0.097734879,"Less than 5% change"
"enoplochiton  niger",0.022,0.023032508,"Less than 5% change"
"fissurella  costata",0.022,-0.193659902,"Less than 5% change"
"fissurella  crassa",0.022,-0.082324463,"Less than 5% change"
"fissurella  cummingi",0.022,-0.060085343,"Less than 5% change"
"fissurella  limbata",0.022,0.741029954,"Less than 5% change"
"fissurella  maxima",0.022,-0.028873684,"Less than 5% change"
"fissurella  picta",0.022,-0.05193472,"Less than 5% change"
"fissurella  puhlcra",0.022,-0.05193472,"Less than 5% change"
"heliaster helianthus",0.022,0.095041298,"Less than 5% change"
"scurria  araucana",0.022,0.700147529,"Less than 5% change"
"scurria  ceciliana",0.022,0.713358771,"Less than 5% change"
"scurria  plana",0.022,0.704303831,"Less than 5% change"
"scurria scurra",0.022,-33.85603914,"Decrease"
"scurria variabilis",0.022,0.763784697,"Less than 5% change"
"scurria viridula",0.022,0.843137329,"Less than 5% change"
"scurria zebrina",0.022,0.857620162,"Less than 5% change"
"siphonaria lesoni",0.022,0.656209951,"Less than 5% change"
"stichaster striatus",0.022,0.140436435,"Less than 5% change"
"tegula atra",0.022,90.16907122,"Increase"
"Tonicia lineolata",0.022,-1.200044844,"Less than 5% change"
"tonicia  chilensis",0.022,-1.200044844,"Less than 5% change"
"tonicia  elegans",0.022,-1.200044844,"Less than 5% change"
"anthotoe spp.",0.022,0.152753839,"Less than 5% change"
"austromegabalanus psittacus",0.022,0.125789895,"Less than 5% change"
"balanus laevis",0.022,0.436035067,"Less than 5% change"
"brachidontes granulata",0.022,0.076992011,"Less than 5% change"
"bunodactis spp.",0.022,0.152753839,"Less than 5% change"
"Oulactis concinnata",0.022,0.152753839,"Less than 5% change"
"jhelius cirratus",0.022,-0.112959268,"Less than 5% change"
"lessonia nigrescens a",0.022,-20.09643384,"Decrease"
"nothobalanus flosculus",0.022,0.416452128,"Less than 5% change"
"nothochthamalus scabrosus",0.022,-0.093002546,"Less than 5% change"
"parantheopsis ",0.022,0.152753839,"Less than 5% change"
"perumytilus purpuratus",0.022,0.604446155,"Less than 5% change"
"phragmatopoma spp.",0.022,0.06546952,"Less than 5% change"
"phymactis spp.",0.022,0.152753839,"Less than 5% change"
"pyura chilensis",0.022,0.063603874,"Less than 5% change"
"semimytilus algosus",0.022,0.328046574,"Less than 5% change"
"gulls",0.022,0.099396292,"Less than 5% change"
"cinclodes nigrofumosus",0.022,0.000318568,"Less than 5% change"
"Echinolittorina peruviana",0.022,-77.38220213,"Decrease"
"austrolittorina araucana",0.022,-75.53399855,"Decrease"
"onchidella sp. ",0.022,-27.41902375,"Decrease"
"Allelopetrolisthes punctatus",0.022,-0.000934291,"Less than 5% change"
"petrolisthes spinifrons",0.022,-0.000934291,"Less than 5% change"
"petrolisthes angulosus",0.022,-0.000934291,"Less than 5% change"
"petrolisthes tuberculatus",0.022,-0.000934291,"Less than 5% change"
"petrolisthes tuberculosus",0.022,-0.000934291,"Less than 5% change"
"trimusculus peruvianus",0.022,-27.3299097,"Decrease"
"lessonia nigrescens j",0.022,187.1792452,"Increase"
"algae",0.022,-1.595035917,"Less than 5% change"
"acanthina monodon",0.0221,0.138348723,"Less than 5% change"
"acanthocyclus gayi",0.0221,0.110738781,"Less than 5% change"
"acanthocyclus hassleri",0.0221,0.110417877,"Less than 5% change"
"acanthopleura echinata",0.0221,0.085695777,"Less than 5% change"
"chaetopleura peruviana",0.0221,0.19073329,"Less than 5% change"
"chiton  cummingsi",0.0221,0.730227584,"Less than 5% change"
"chiton  granosus",0.0221,0.426980037,"Less than 5% change"
"chiton  latus",0.0221,0.664855953,"Less than 5% change"
"lottia  orbignyi",0.0221,0.698842947,"Less than 5% change"
"concholepas concholepas",0.0221,0.097482445,"Less than 5% change"
"enoplochiton  niger",0.0221,0.022397107,"Less than 5% change"
"fissurella  costata",0.0221,-0.19432468,"Less than 5% change"
"fissurella  crassa",0.0221,-0.082974975,"Less than 5% change"
"fissurella  cummingi",0.0221,-0.060723076,"Less than 5% change"
"fissurella  limbata",0.0221,0.740235298,"Less than 5% change"
"fissurella  maxima",0.0221,-0.029508699,"Less than 5% change"
"fissurella  picta",0.0221,-0.052571816,"Less than 5% change"
"fissurella  puhlcra",0.0221,-0.052571816,"Less than 5% change"
"heliaster helianthus",0.0221,0.094795061,"Less than 5% change"
"scurria  araucana",0.0221,0.699681427,"Less than 5% change"
"scurria  ceciliana",0.0221,0.712895154,"Less than 5% change"
"scurria  plana",0.0221,0.703838428,"Less than 5% change"
"scurria scurra",0.0221,-33.85086014,"Decrease"
"scurria variabilis",0.0221,0.763327203,"Less than 5% change"
"scurria viridula",0.0221,0.84268337,"Less than 5% change"
"scurria zebrina",0.0221,0.857165535,"Less than 5% change"
"siphonaria lesoni",0.0221,0.655728913,"Less than 5% change"
"stichaster striatus",0.0221,0.140114621,"Less than 5% change"
"tegula atra",0.0221,90.1914735,"Increase"
"Tonicia lineolata",0.0221,-1.200950262,"Less than 5% change"
"tonicia  chilensis",0.0221,-1.200950262,"Less than 5% change"
"tonicia  elegans",0.0221,-1.200950262,"Less than 5% change"
"anthotoe spp.",0.0221,0.152405774,"Less than 5% change"
"austromegabalanus psittacus",0.0221,0.125444461,"Less than 5% change"
"balanus laevis",0.0221,0.435666161,"Less than 5% change"
"brachidontes granulata",0.0221,0.076765682,"Less than 5% change"
"bunodactis spp.",0.0221,0.152405774,"Less than 5% change"
"Oulactis concinnata",0.0221,0.152405774,"Less than 5% change"
"jhelius cirratus",0.0221,-0.113769105,"Less than 5% change"
"lessonia nigrescens a",0.0221,-20.09331616,"Decrease"
"nothobalanus flosculus",0.0221,0.415770287,"Less than 5% change"
"nothochthamalus scabrosus",0.0221,-0.093818012,"Less than 5% change"
"parantheopsis ",0.0221,0.152405774,"Less than 5% change"
"perumytilus purpuratus",0.0221,0.603675239,"Less than 5% change"
"phragmatopoma spp.",0.0221,0.065277092,"Less than 5% change"
"phymactis spp.",0.0221,0.152405774,"Less than 5% change"
"pyura chilensis",0.0221,0.063416933,"Less than 5% change"
"semimytilus algosus",0.0221,0.327576864,"Less than 5% change"
"gulls",0.0221,0.09923654,"Less than 5% change"
"cinclodes nigrofumosus",0.0221,0.000315168,"Less than 5% change"
"Echinolittorina peruviana",0.0221,-77.39293504,"Decrease"
"austrolittorina araucana",0.0221,-75.54524168,"Decrease"
"onchidella sp. ",0.0221,-27.42624658,"Decrease"
"Allelopetrolisthes punctatus",0.0221,-0.000932747,"Less than 5% change"
"petrolisthes spinifrons",0.0221,-0.000932747,"Less than 5% change"
"petrolisthes angulosus",0.0221,-0.000932747,"Less than 5% change"
"petrolisthes tuberculatus",0.0221,-0.000932747,"Less than 5% change"
"petrolisthes tuberculosus",0.0221,-0.000932747,"Less than 5% change"
"trimusculus peruvianus",0.0221,-27.33710996,"Decrease"
"lessonia nigrescens j",0.0221,187.2212036,"Increase"
"algae",0.0221,-1.595456819,"Less than 5% change"
"acanthina monodon",0.0222,0.138034625,"Less than 5% change"
"acanthocyclus gayi",0.0222,0.110467073,"Less than 5% change"
"acanthocyclus hassleri",0.0222,0.110147224,"Less than 5% change"
"acanthopleura echinata",0.0222,0.085235844,"Less than 5% change"
"chaetopleura peruviana",0.0222,0.190334601,"Less than 5% change"
"chiton  cummingsi",0.0222,0.729770236,"Less than 5% change"
"chiton  granosus",0.0222,0.426443808,"Less than 5% change"
"chiton  latus",0.0222,0.664383702,"Less than 5% change"
"lottia  orbignyi",0.0222,0.698380424,"Less than 5% change"
"concholepas concholepas",0.0222,0.097232356,"Less than 5% change"
"enoplochiton  niger",0.0222,0.021767603,"Less than 5% change"
"fissurella  costata",0.0222,-0.194983294,"Less than 5% change"
"fissurella  crassa",0.0222,-0.083619451,"Less than 5% change"
"fissurella  cummingi",0.0222,-0.061354891,"Less than 5% change"
"fissurella  limbata",0.0222,0.73944803,"Less than 5% change"
"fissurella  maxima",0.0222,-0.030137822,"Less than 5% change"
"fissurella  picta",0.0222,-0.053203001,"Less than 5% change"
"fissurella  puhlcra",0.0222,-0.053203001,"Less than 5% change"
"heliaster helianthus",0.0222,0.094551111,"Less than 5% change"
"scurria  araucana",0.0222,0.699219674,"Less than 5% change"
"scurria  ceciliana",0.0222,0.712435861,"Less than 5% change"
"scurria  plana",0.0222,0.703377366,"Less than 5% change"
"scurria scurra",0.0222,-33.84572981,"Decrease"
"scurria variabilis",0.0222,0.76287398,"Less than 5% change"
"scurria viridula",0.0222,0.842233648,"Less than 5% change"
"scurria zebrina",0.0222,0.856715154,"Less than 5% change"
"siphonaria lesoni",0.0222,0.655252361,"Less than 5% change"
"stichaster striatus",0.0222,0.139795797,"Less than 5% change"
"tegula atra",0.0222,90.21367067,"Increase"
"Tonicia lineolata",0.0222,-1.201847302,"Less than 5% change"
"tonicia  chilensis",0.0222,-1.201847302,"Less than 5% change"
"tonicia  elegans",0.0222,-1.201847302,"Less than 5% change"
"anthotoe spp.",0.0222,0.152060942,"Less than 5% change"
"austromegabalanus psittacus",0.0222,0.125102234,"Less than 5% change"
"balanus laevis",0.0222,0.435300693,"Less than 5% change"
"brachidontes granulata",0.0222,0.076541455,"Less than 5% change"
"bunodactis spp.",0.0222,0.152060942,"Less than 5% change"
"Oulactis concinnata",0.0222,0.152060942,"Less than 5% change"
"jhelius cirratus",0.0222,-0.114571425,"Less than 5% change"
"lessonia nigrescens a",0.0222,-20.0902278,"Decrease"
"nothobalanus flosculus",0.0222,0.415094789,"Less than 5% change"
"nothochthamalus scabrosus",0.0222,-0.094625908,"Less than 5% change"
"parantheopsis ",0.0222,0.152060942,"Less than 5% change"
"perumytilus purpuratus",0.0222,0.602911496,"Less than 5% change"
"phragmatopoma spp.",0.0222,0.065086451,"Less than 5% change"
"phymactis spp.",0.0222,0.152060942,"Less than 5% change"
"pyura chilensis",0.0222,0.063231727,"Less than 5% change"
"semimytilus algosus",0.0222,0.327111523,"Less than 5% change"
"gulls",0.0222,0.099078272,"Less than 5% change"
"cinclodes nigrofumosus",0.0222,0.0003118,"Less than 5% change"
"Echinolittorina peruviana",0.0222,-77.40356568,"Decrease"
"austrolittorina araucana",0.0222,-75.55637752,"Decrease"
"onchidella sp. ",0.0222,-27.43340284,"Decrease"
"Allelopetrolisthes punctatus",0.0222,-0.000931216,"Less than 5% change"
"petrolisthes spinifrons",0.0222,-0.000931216,"Less than 5% change"
"petrolisthes angulosus",0.0222,-0.000931216,"Less than 5% change"
"petrolisthes tuberculatus",0.0222,-0.000931216,"Less than 5% change"
"petrolisthes tuberculosus",0.0222,-0.000931216,"Less than 5% change"
"trimusculus peruvianus",0.0222,-27.34424386,"Decrease"
"lessonia nigrescens j",0.0222,187.2627761,"Increase"
"algae",0.0222,-1.595873842,"Less than 5% change"
"acanthina monodon",0.0223,0.137723431,"Less than 5% change"
"acanthocyclus gayi",0.0223,0.110197878,"Less than 5% change"
"acanthocyclus hassleri",0.0223,0.109879073,"Less than 5% change"
"acanthopleura echinata",0.0223,0.08478016,"Less than 5% change"
"chaetopleura peruviana",0.0223,0.189939599,"Less than 5% change"
"chiton  cummingsi",0.0223,0.729317135,"Less than 5% change"
"chiton  granosus",0.0223,0.425912542,"Less than 5% change"
"chiton  latus",0.0223,0.663915835,"Less than 5% change"
"lottia  orbignyi",0.0223,0.697922196,"Less than 5% change"
"concholepas concholepas",0.0223,0.096984578,"Less than 5% change"
"enoplochiton  niger",0.0223,0.021143915,"Less than 5% change"
"fissurella  costata",0.0223,-0.195635829,"Less than 5% change"
"fissurella  crassa",0.0223,-0.084257976,"Less than 5% change"
"fissurella  cummingi",0.0223,-0.061980872,"Less than 5% change"
"fissurella  limbata",0.0223,0.738668047,"Less than 5% change"
"fissurella  maxima",0.0223,-0.030761134,"Less than 5% change"
"fissurella  picta",0.0223,-0.053828356,"Less than 5% change"
"fissurella  puhlcra",0.0223,-0.053828356,"Less than 5% change"
"heliaster helianthus",0.0223,0.094309416,"Less than 5% change"
"scurria  araucana",0.0223,0.698762208,"Less than 5% change"
"scurria  ceciliana",0.0223,0.711980834,"Less than 5% change"
"scurria  plana",0.0223,0.702920586,"Less than 5% change"
"scurria scurra",0.0223,-33.84064746,"Decrease"
"scurria variabilis",0.0223,0.762424966,"Less than 5% change"
"scurria viridula",0.0223,0.841788106,"Less than 5% change"
"scurria zebrina",0.0223,0.856268957,"Less than 5% change"
"siphonaria lesoni",0.0223,0.654780233,"Less than 5% change"
"stichaster striatus",0.0223,0.13947992,"Less than 5% change"
"tegula atra",0.0223,90.23566554,"Increase"
"Tonicia lineolata",0.0223,-1.202736081,"Less than 5% change"
"tonicia  chilensis",0.0223,-1.202736081,"Less than 5% change"
"tonicia  elegans",0.0223,-1.202736081,"Less than 5% change"
"anthotoe spp.",0.0223,0.1517193,"Less than 5% change"
"austromegabalanus psittacus",0.0223,0.124763172,"Less than 5% change"
"balanus laevis",0.0223,0.434938617,"Less than 5% change"
"brachidontes granulata",0.0223,0.0763193,"Less than 5% change"
"bunodactis spp.",0.0223,0.1517193,"Less than 5% change"
"Oulactis concinnata",0.0223,0.1517193,"Less than 5% change"
"jhelius cirratus",0.0223,-0.115366332,"Less than 5% change"
"lessonia nigrescens a",0.0223,-20.08716833,"Decrease"
"nothobalanus flosculus",0.0223,0.414425544,"Less than 5% change"
"nothochthamalus scabrosus",0.0223,-0.095426339,"Less than 5% change"
"parantheopsis ",0.0223,0.1517193,"Less than 5% change"
"perumytilus purpuratus",0.0223,0.602154826,"Less than 5% change"
"phragmatopoma spp.",0.0223,0.064897572,"Less than 5% change"
"phymactis spp.",0.0223,0.1517193,"Less than 5% change"
